Timestamp,GPS_Position_X,GPS_Position_Y,GPS_Position_Z,LEO_Position_X,LEO_Position_Y,LEO_Position_Z,PRN,Latitude,Longitude,Absolute_STEC,Elevation_Angle,date,LT
63530627574000.0,-8763331.811396992,-19050356.276545927,-16415150.491304344,132274.601033098,-514042.778170373,-6809285.10425733,4,-85.54276656602963,-75.56959084108557,15.47795202855646,28.41725124441669,2013-03-17 04:32:49,23.508971721705407
63530627574000.0,-14397915.046216352,-7158477.805077653,-21008008.889508203,132274.601033098,-514042.778170373,-6809285.10425733,2,-85.54276656602963,-75.56959084108557,15.778313348767098,42.26015990043797,2013-03-17 04:32:49,23.508971721705407
63530627574000.0,-12455366.633435577,-11663626.484953158,-20732174.652401168,132274.601033098,-514042.778170373,-6809285.10425733,10,-85.54276656602963,-75.56959084108557,15.332734935179372,41.53591486880152,2013-03-17 04:32:49,23.508971721705407
63530627584000.0,-14393113.617396474,-7185184.871426287,-21002745.232038327,166494.854116737,-581818.54903152,-6803175.20221548,2,-84.91666969716385,-74.03084576637735,14.606858679705734,42.15732854816313,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,-8757321.443122936,-19070092.40966119,-16394802.700110674,166494.854116737,-581818.54903152,-6803175.20221548,4,-84.91666969716385,-74.03084576637735,13.381772728982995,28.785657837936434,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,-12431285.083368773,-11672486.039668536,-20741361.1372895,166494.854116737,-581818.54903152,-6803175.20221548,10,-84.91666969716385,-74.03084576637735,14.141836445020013,41.727176352829645,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,12522424.092229826,-9208386.105431296,-21508086.52394936,166494.854116737,-581818.54903152,-6803175.20221548,23,-84.91666969716385,-74.03084576637735,9.726566084138835,48.14691473556952,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,-3589120.876671479,16247284.139836367,-20656023.321382742,166494.854116737,-581818.54903152,-6803175.20221548,29,-84.91666969716385,-74.03084576637735,19.297972069903903,33.702916604336636,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,17283064.48704654,6713964.516343985,-19360882.369660445,166494.854116737,-581818.54903152,-6803175.20221548,30,-84.91666969716385,-74.03084576637735,15.7176714484093,33.238167082274344,2013-03-17 04:32:59,23.614332504463732
63530627584000.0,9114661.851507753,16533696.311782576,-18383593.898919504,166494.854116737,-581818.54903152,-6803175.20221548,31,-84.91666969716385,-74.03084576637735,20.72958364488418,27.204312902400268,2013-03-17 04:32:59,23.614332504463732
63530627594000.0,9108442.030732842,16556662.546104548,-18365894.33415424,200595.666239479,-649572.069357774,-6796216.57851456,31,-84.28758392751945,-72.83868295253451,19.18066688591006,26.69362364191027,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,17262035.464774594,6725286.583716783,-19376004.258280113,200595.666239479,-649572.069357774,-6796216.57851456,30,-84.28758392751945,-72.83868295253451,13.192582722126446,33.28400331740806,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,-3608907.3785840063,16229878.451874081,-20666184.910150662,200595.666239479,-649572.069357774,-6796216.57851456,29,-84.28758392751945,-72.83868295253451,18.742768947084883,33.017357140163035,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,-8751326.016030625,-19089807.194922533,-16374420.301375786,200595.666239479,-649572.069357774,-6796216.57851456,4,-84.28758392751945,-72.83868295253451,12.58998406045264,29.15159670598335,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,-12407197.482434586,-11681362.895015988,-20750504.919134144,200595.666239479,-649572.069357774,-6796216.57851456,10,-84.28758392751945,-72.83868295253451,12.730112785129748,41.9105837913278,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,-14388327.808549216,-7211887.28982452,-20997436.36453716,200595.666239479,-649572.069357774,-6796216.57851456,2,-84.28758392751945,-72.83868295253451,13.57676353136414,42.04670529392634,2013-03-17 04:33:09,23.696587803164366
63530627594000.0,12542940.688635219,-9190177.64672227,-21504312.448912892,200595.666239479,-649572.069357774,-6796216.57851456,23,-84.28758392751945,-72.83868295253451,8.31049474899746,48.79281521419701,2013-03-17 04:33:09,23.696587803164366
63530627604000.0,17240996.434195194,6736628.984339858,-19391086.05979683,234572.852466546,-717294.771995154,-6788410.124798019,30,-83.65640299607011,-71.89099518194635,12.079519591417618,33.31848884341003,2013-03-17 04:33:19,23.76254476564802
63530627604000.0,12563463.752775064,-9171984.396353723,-21500492.512421727,234572.852466546,-717294.771995154,-6788410.124798019,23,-83.65640299607011,-71.89099518194635,7.4101049855822785,49.43355391576974,2013-03-17 04:33:19,23.76254476564802
63530627604000.0,9102240.691479998,16579610.58768101,-18348154.76299638,234572.852466546,-717294.771995154,-6788410.124798019,31,-83.65640299607011,-71.89099518194635,17.538063995209697,26.17825670647847,2013-03-17 04:33:19,23.76254476564802
63530627604000.0,-8745345.505074296,-19109500.579174403,-16354003.338475728,234572.852466546,-717294.771995154,-6788410.124798019,4,-83.65640299607011,-71.89099518194635,11.302953915567558,29.514984148929898,2013-03-17 04:33:19,23.76254476564802
63530627604000.0,-14383557.619201344,-7238584.995238424,-20992082.303103562,234572.852466546,-717294.771995154,-6788410.124798019,2,-83.65640299607011,-71.89099518194635,12.599866939692397,41.92836719186776,2013-03-17 04:33:19,23.76254476564802
